,time,,x1,y1,z1,x2,y2,z2
8948,99.411,1.75697E+12,145.665665,132.206665,548.729187,141.961243,3.154472,548.331848
8949,99.422,1.75697E+12,145.74733,132.132889,548.712769,141.99501,3.132241,548.369812
8950,99.433,1.75697E+12,145.770859,132.142899,548.737244,141.951584,3.180277,548.385071
8951,99.444,1.75697E+12,145.715622,132.174789,548.680542,142.039444,3.04538,548.389893
8952,99.455,1.75697E+12,145.819595,132.219849,548.641541,141.96254,3.242074,548.296204
8953,99.466,1.75697E+12,145.748886,132.137329,548.814758,141.96254,3.242074,548.296204
8954,99.477,1.75697E+12,145.778214,132.144394,548.733154,141.977692,3.182183,548.35907
8955,99.488,1.75697E+12,145.690765,132.192245,548.671143,142.034882,3.130502,548.434265
8956,99.5,1.75697E+12,145.798706,132.132401,548.738464,141.990402,3.229011,548.337219
8957,99.511,1.75697E+12,145.752182,132.145264,548.741211,141.922607,3.052293,548.459778
8958,99.522,1.75697E+12,145.710648,132.122665,548.842896,141.981903,3.150391,548.393677
8959,99.533,1.75697E+12,145.736816,132.159927,548.731384,142.014557,3.137503,548.373047
8960,99.544,1.75697E+12,145.690765,132.192245,548.671143,141.853973,3.186475,548.316223
8961,99.555,1.75697E+12,145.807007,132.145828,548.721863,141.96254,3.138177,548.448853
8962,99.566,1.75697E+12,145.736816,132.159927,548.731384,141.990402,3.229011,548.337219
8963,99.577,1.75697E+12,145.680511,132.140152,548.728149,141.937729,3.167531,548.388489
8964,99.588,1.75697E+12,145.733459,132.197845,548.650757,141.941269,3.157959,548.43335
8965,99.6,1.75697E+12,145.713409,132.122055,548.735474,141.887894,3.196333,548.447266
8966,99.611,1.75697E+12,145.692123,132.243896,548.617615,141.990402,3.229011,548.337219
8967,99.622,1.75697E+12,145.746002,132.160355,548.727783,142.032288,3.237977,548.31366
8968,99.633,1.75697E+12,145.736816,132.159927,548.731384,141.967255,3.289789,548.316101
8969,99.644,1.75697E+12,145.655411,132.154556,548.786194,141.931351,3.130988,548.391663
8970,99.655,1.75697E+12,145.655411,132.154556,548.786194,141.90947,3.061863,548.492371
8971,99.666,1.75697E+12,145.690765,132.192245,548.671143,141.996262,3.231486,548.257202
8972,99.677,1.75697E+12,145.768646,132.090149,548.792175,141.996918,3.281098,548.200928
8973,99.688,1.75697E+12,145.735748,132.108246,548.784851,142.03685,3.152852,548.269226
8974,99.7,1.75697E+12,145.746384,132.213593,548.630188,141.976242,3.097932,548.39093
8975,99.711,1.75697E+12,145.68158,132.191818,548.674683,141.958313,3.054249,548.446045
8976,99.722,1.75697E+12,145.744003,132.079803,548.768433,141.985687,3.181298,548.317322
8977,99.733,1.75697E+12,145.801361,132.144363,548.725281,141.985687,3.181298,548.317322
8978,99.744,1.75697E+12,145.80896,132.255478,548.608582,141.921295,3.22695,548.326599
8979,99.755,1.75697E+12,145.817719,132.23114,548.694885,142.000687,3.124757,548.376465
8980,99.766,1.75697E+12,145.68158,132.191818,548.674683,141.893051,3.29763,548.255737
8981,99.777,1.75697E+12,145.68158,132.191818,548.674683,141.994965,3.143886,548.292786
8982,99.788,1.75697E+12,145.692123,132.243896,548.617615,141.990402,3.229011,548.337219
8983,99.8,1.75697E+12,145.690765,132.192245,548.671143,141.977692,3.182183,548.35907
8984,99.811,1.75697E+12,145.78064,132.19722,548.678101,141.912094,3.083422,548.427917
8985,99.822,1.75697E+12,145.736816,132.159927,548.731384,141.96254,3.242074,548.296204
8986,99.833,1.75697E+12,145.711716,132.174332,548.78949,141.955963,3.086079,548.370667
8987,99.844,1.75697E+12,145.735748,132.108246,548.784851,141.996262,3.231486,548.257202
8988,99.855,1.75697E+12,145.713409,132.122055,548.735474,141.886795,3.17364,548.397949
8989,99.866,1.75697E+12,145.78064,132.19722,548.678101,141.921326,3.091959,548.375183
8990,99.877,1.75697E+12,145.736816,132.159927,548.731384,141.967255,3.289789,548.316101
8991,99.888,1.75697E+12,145.736816,132.159927,548.731384,141.995438,3.269122,548.286621
8992,99.9,1.75697E+12,145.731491,132.159698,548.690613,141.961273,3.142829,548.408813
8993,99.911,1.75697E+12,145.735748,132.108246,548.784851,142.008072,3.060676,548.382629
8994,99.922,1.75697E+12,145.735748,132.108246,548.784851,141.957306,3.170333,548.338867
8995,99.933,1.75697E+12,145.766327,132.11998,548.762329,141.915253,3.138028,548.429016
8996,99.944,1.75697E+12,145.770859,132.142899,548.737244,141.96254,3.242074,548.296204
8997,99.955,1.75697E+12,145.68158,132.191818,548.674683,141.963181,3.291685,548.239929
8998,99.966,1.75697E+12,145.773148,132.262329,548.570984,141.95195,3.191886,548.356384
8999,99.977,1.75697E+12,145.68158,132.191818,548.674683,142.010178,3.075464,548.429138
9000,99.988,1.75697E+12,145.711716,132.174332,548.78949,141.95195,3.191886,548.356384
9001,100,1.75697E+12,145.708923,132.284302,548.570374,141.897614,3.141577,548.430664
9002,100.011,1.75697E+12,145.683823,132.298721,548.628479,141.966965,3.135345,548.415466
9003,100.022,1.75697E+12,145.725403,132.229126,548.621399,142.027573,3.190264,548.293762
9004,100.033,1.75697E+12,145.75383,132.19989,548.684509,141.95195,3.191886,548.356384
9005,100.044,1.75697E+12,145.683945,132.210083,548.663086,142.000687,3.124757,548.376465
9006,100.055,1.75697E+12,145.726273,132.227112,548.687439,141.886795,3.17364,548.397949
9007,100.066,1.75697E+12,145.806839,132.287903,548.533203,141.984863,3.218933,548.346741
9008,100.077,1.75697E+12,145.457703,132.432419,548.714111,141.93811,2.802223,548.392883
9009,100.088,1.75697E+12,145.568298,134.065475,549.294861,141.856201,1.260812,548.358765
9010,100.1,1.75697E+12,145.911163,135.609741,548.793884,141.707062,0.047799,548.197815
9011,100.111,1.75697E+12,145.905228,136.921738,549.088196,141.763077,-1.037457,548.40094
9012,100.122,1.75697E+12,145.583679,137.84967,548.63269,141.555374,-2.407029,548.125122
9013,100.133,1.75697E+12,145.99263,138.612579,548.651001,141.456558,-3.045506,548.020203
9014,100.144,1.75697E+12,146.00528,139.334152,548.727356,141.51355,-3.473406,548.239746
9015,100.155,1.75697E+12,146.005371,139.485168,548.628418,141.50676,-3.637331,548.119995
9016,100.166,1.75697E+12,146.106918,139.504318,548.674133,141.594711,-3.52367,548.355774
9017,100.177,1.75697E+12,145.970932,139.506561,548.618347,141.408173,-3.522051,548.157349
9018,100.188,1.75697E+12,146.010757,139.345474,548.71637,141.432922,-3.522362,548.184021
9019,100.2,1.75697E+12,146.101425,139.36821,548.677185,141.463333,-3.560516,548.217651
9020,100.211,1.75697E+12,145.967026,139.323837,548.701904,141.463943,-3.511022,548.161194
9021,100.222,1.75697E+12,146.060501,139.348236,548.853455,141.486313,-3.451857,548.274536
9022,100.233,1.75697E+12,145.957092,139.395493,548.68512,141.470474,-3.603885,548.191895
9023,100.244,1.75697E+12,146.040298,139.373825,548.726257,141.480042,-3.502317,548.248962
9024,100.255,1.75697E+12,146.018494,139.36705,548.744629,141.432922,-3.522362,548.184021
9025,100.266,1.75697E+12,146.06218,139.30011,548.794067,141.440079,-3.565732,548.158264
9026,100.277,1.75697E+12,146.080215,139.276184,548.920288,141.482346,-3.621789,548.17511
9027,100.288,1.75697E+12,146.131485,139.2742,548.829895,141.495895,-3.552877,548.249146
9028,100.3,1.75697E+12,146.076172,139.306107,548.783142,141.432922,-3.522362,548.184021
9029,100.311,1.75697E+12,146.02153,139.410034,548.591309,141.472473,-3.536435,548.150024
9030,100.322,1.75697E+12,146.016342,139.263519,548.851135,141.415741,-3.504543,548.097534
9031,100.333,1.75697E+12,146.057022,139.344879,548.697144,141.432541,-3.469914,548.124512
9032,100.344,1.75697E+12,146.125931,139.351273,548.823975,141.511063,-3.490978,548.226135
9033,100.355,1.75697E+12,146.038757,139.206482,548.901733,141.432922,-3.522362,548.184021
9034,100.366,1.75697E+12,146.018494,139.36705,548.744629,141.51355,-3.473406,548.239746
9035,100.377,1.75697E+12,146.035217,139.338104,548.715515,141.40033,-3.520603,548.226807
9036,100.388,1.75697E+12,146.083405,139.370636,548.800781,141.52124,-3.615996,548.274292
9037,100.4,1.75697E+12,146.079422,139.409622,548.737305,141.560455,-3.492702,548.32135
9038,100.411,1.75697E+12,146.021072,139.320923,548.825378,141.56897,-3.546458,548.282837
9039,100.422,1.75697E+12,146.051254,139.336929,548.760193,141.530807,-3.514429,548.33136
9040,100.433,1.75697E+12,146.004135,139.298294,548.815857,141.440079,-3.565732,548.158264
9041,100.444,1.75697E+12,146.043106,139.158569,548.892334,141.496841,-3.531606,548.208374
9042,100.455,1.75697E+12,146.043884,139.278122,548.912842,141.500305,-3.440719,548.154541
9043,100.466,1.75697E+12,146.092957,139.195312,548.976685,141.538239,-3.602178,548.357056
9044,100.477,1.75697E+12,146.047714,139.271164,548.828613,141.510437,-3.54047,548.282593
9045,100.488,1.75697E+12,146.004852,139.320709,548.796631,141.466446,-3.493451,548.174744
9046,100.5,1.75697E+12,146.075592,139.415924,548.689148,141.432922,-3.522362,548.184021
9047,100.511,1.75697E+12,146.075302,139.366776,548.721497,141.51355,-3.473406,548.239746
9048,100.522,1.75697E+12,146.069702,139.438126,548.616638,141.51355,-3.473406,548.239746
9049,100.533,1.75697E+12,146.036392,139.277573,548.776978,141.530411,-3.461986,548.271912
9050,100.544,1.75697E+12,145.992554,139.270508,548.743713,141.395966,-3.503649,548.174561
9051,100.555,1.75697E+12,146.057587,139.40509,548.657227,141.445175,-3.502345,548.242249
9052,100.566,1.75697E+12,146.028275,139.451324,548.651184,141.52124,-3.615996,548.274292
9053,100.577,1.75697E+12,146.146164,139.301056,548.797424,141.466446,-3.493451,548.174744
9054,100.588,1.75697E+12,146.049667,139.39537,548.70105,141.493546,-3.57622,548.328613
9055,100.6,1.75697E+12,145.957092,139.395493,548.68512,141.425064,-3.528219,548.193176
9056,100.611,1.75697E+12,146.053909,139.416901,548.677612,141.443436,-3.551131,548.247681
9057,100.622,1.75697E+12,146.031189,139.327408,548.745605,141.52124,-3.615996,548.274292
9058,100.633,1.75697E+12,146.07991,139.192535,548.987915,141.495071,-3.509068,548.286194
9059,100.644,1.75697E+12,146.030609,139.388031,548.715088,141.481506,-3.500701,548.218018
9060,100.655,1.75697E+12,146.042297,139.472595,548.642639,141.454025,-3.52308,548.242004
9061,100.666,1.75697E+12,146.054047,139.423553,548.670776,141.462067,-3.514743,548.200378
9062,100.677,1.75697E+12,146.116241,139.403152,548.756287,141.432922,-3.522362,548.184021
9063,100.688,1.75697E+12,146.100037,139.145721,548.94574,141.517197,-3.505567,548.257202
9064,100.7,1.75697E+12,146.069061,139.32666,548.850647,141.517197,-3.505567,548.257202
9065,100.711,1.75697E+12,146.003357,139.299774,548.845032,141.466446,-3.493451,548.174744
